date_of_stay,trip_type,date_of_review,review,review_title,nationality
Stayed 3 nights in August 2018,Family with teens,"Reviewed January 04, 2019","The Mandarin Orchard Singapore is a great hotel.  It had beautiful clean rooms.  We enjoyed the breakfast with it's wide selection of food.  The location is excellent,  right in the middle of the shopping district and close to a train station.  There are also many restaurants to choose from in the area.  ",Excellent location”,ISAURO from Philippines
Stayed 2 nights in November 2018,Business traveler,"Reviewed January 02, 2019",It was not the first and certainly not the last. We love the hotel for its location so central and easy to reach our favorite place. The room is spacious. The ambience is great. Just a long queue for check in and check out. But next time I’ll utilize the expresss check out form,Always a favorite hotel”,jenti from Indonesia
Stayed 2 nights in December 2018,Couple,"Reviewed January 01, 2019","best location in orchard, easy to get around to the shopping malls in the area. the price point is getting heavier after several years so it will come to a point when we think it will be overpriced. but the breakfast buffet is still really good value. we will stay in this hotel again for good access to orchard shopping area and as long as its price point is reasonable.",in the middle of orchard”,Nor from Malaysia
Stayed 3 nights in December 2018,Couple,"Reviewed December 26, 2018","Great location, no doubt, but expect a long queue for check-in and a crowded, bustling atmosphere. It almost felt like a train station. If you are patient and don't mind the high occupancy and long queues for check-in and breakfast, then you should be fine here. Overall, the room is nice, clean and comfortable. ",Great Location”,Mong from Malaysia
Stayed 1 night in December 2018,Family with young children,"Reviewed December 25, 2018","Have stayed in Mandarin Orchard a few times. We choose this hotel because of the central location, very convenience if you need to go around shopping and back to hotel for some rest. Front desk staff Mr Victor Ho was really helpfull, I need to make some changes to my booking and he kindly arranged that.. ",Best location in Orchard”,Buyung from Indonesia
Stayed 1 night in December 2018,Family with young children,"Reviewed December 18, 2018","Exceptional location with captivating view of Orchard Road from the hotel room. Friendly & efficient staff. Encountered some technical issues with the TV remote control. Called customer service for help. Technician came within 15mins and issue fixed.

Celebrated my anniversary at the hotel. Hotel provided nice towel folded Swan & tasty chocolate cake.

My stay is 100% enjoyable and unforgettable. Will be back again next year. Thanks Mandarin Orchard. ",Exceptional location with captivating view of Orchard Road. ”,Emily from Singapore
Stayed 2 nights in February 2019,Family with young children,"Reviewed February 07, 2019","Very good location, but still a short walk away from the Orchard & Somerset MRT stations (5-10min). Quality of the breakfast buffet was disappointing on the 2 days stay (over the Chinese New Year holidays). Room size is big. ",Hotel at the heart of orchard road”,Xiu from Singapore
Stayed 2 nights in February 2019,Couple,"Reviewed March 01, 2019","Room is a bit old, but perfect location. ",Best location for shopping”,Yennie from Indonesia
Stayed 1 night in December 2018,Family with young children,"Reviewed February 26, 2019",always love this hotel because of the room and location,Exceptional”,Lidia from Indonesia
Stayed 6 nights in November 2018,Family with young children,"Reviewed December 03, 2018","We usually stay in Mandarin Orchard Hotel four times in a year. We are greeted with a warm smile from Hanelyn, Hotel’s front desk staff. Mandarin Orchard Hotel is conveniently near Mt. Elizabeth Orchard for our Doctor’s check ups and shopping at Ngee Ann and Paragon. There’s a lot of great restaurants within the Hotel’s premises - Chatterbox ( Hainanese chicken ), Ippudo ( Japanese Ramen ) & Lawry’s ( steaks & lobster ). 
",The Heart of Orchard ”,Betchie from Philippines
Stayed 2 nights in November 2018,Couple,"Reviewed November 21, 2018",Fantastic celebration with the help of the Hotel. Did i mentioned the dark chocolate cake was superlicious? It was really fantastic! Great location. Great staff with excellent service. We will stay there again with many birthdays and anniversaries celebrations to come. Thumbs up! :),Exceptional Birthday Celebration at Mandarin Orchard”,Wei from Singapore
Stayed 3 nights in November 2018,Family with teens,"Reviewed November 14, 2018","I booked a deluxe room at the Mandarin Orchard for my Senior Citizen Parenys and their companion through Agoda. Upon check in, they were pleasantly surprised to be upgraded to a Suite. They loved their stay. The suite was large and comfortable. The location was excellent, an easy walk to their favorite malls and restaurants (the famour Chatterbox Cafe and Lawry’s). We will definitely return! ",Lovely stay at the Mandarin Orchard”,Ana from Singapore
Stayed 2 nights in July 2018,Family with young children,"Reviewed October 24, 2018","If you get good deals on internet, like Agoda or maybe other online travel booking, definitely it's the best option. I got SGD 230 per night, and I think this is great choice. But with normal price, there are many other better option.    Check in time took us for 40 minutes :(...",All good on this hotel except long q during check in”,Ferdinand from Indonesia
Stayed 2 nights in October 2018,Couple,"Reviewed October 23, 2018","I have stayed in This hotel many times every times I go to Singapore. The location is perfect, it is in the heart of Singapore. Everything you need is just walking distance. The MRT station is just nearby. And the last time I arrived earlier than the check in time, they allowed us to check in earlier. ",Location...location”,Diah from Indonesia
Stayed 1 night in October 2018,Business traveler,"Reviewed October 18, 2018","Excellent hotel and facilities, well appointed and fully catered for the business traveler. The club lounge was good value and a must for a business user. location of the hotel was perfect. This will become my hotel of choice for SGP when in town on business. ",Exceptional”,Scott from Macau
Stayed 2 nights in October 2018,Family with young children,"Reviewed October 15, 2018","Location is great. The room is nice and clean. However, lots of tourists and we have to wait for a queue for check in. Also, the staff was trying to encourage us to upgrade the room (too much) in order to get our prior request on early check in. ","Great place, nice location”",Kasalee from Thailand
Stayed 3 nights in September 2018,Family with young children,"Reviewed October 14, 2018","Its a good hotel, with direct access to Mall and various food restaurant choices. Its also located in the central of Orchard. 
Access to public transport and taxy are very easy to reach.
Hotel cleanliness is marvelous and the staff is really nice.
",Clean and Well Located”,Ivor from Indonesia
Stayed 2 nights in September 2018,Business traveler,"Reviewed October 08, 2018","Were stayed here during business trip for 2 nights only. Event room seems a bit old but it was spacious, clean and neat. Bathroom all perfect! Breakfast have a lot of variety foods, really love it. Location very strategic for those who loves to wander around Orchard area.",Nice stay”,Fransisca from Indonesia
Stayed 2 nights in September 2018,Family with young children,"Reviewed October 03, 2018","We booked 4 Deluxe Kingbed rooms. The rooms is spacious but outdated. Definetly need refurbishment. You can hear people walking and talking in the hallway, even the noise from your next door.

Breakfast buffet was nice, lots of international and asian foods. But please be remind that you are not allow to enter if you're wearing hotel slipper or tank tops. ",Best for location”,David from Indonesia
Stayed 1 night in September 2018,Family with young children,"Reviewed October 01, 2018",Like the location of hotel.  had breakfast in hotel which had a good spread of local food.  i was assigned to the room in old wing which corridor was a bit dark (still acceptable) compared to brightly lit new wing. tried the gym facilities which i find it not convenient as it is situated in the new wing n have to climb staircase from level 36. think is a bit unsafe for ladies to walk up staircase.,short staycation in a well located hotel”,Bee from Singapore
Stayed 3 nights in September 2018,Family with teens,"Reviewed September 29, 2018","The hotel is in the city center, very convinient for shopping. 
Breakfast and restaurants are nice. The staffs are friendly and helpful.
The only thing that I don’t like here is the bathroom.  Small and the door is difficult to close :(",Nice hotel with very god location”,Mai from Vietnam
Stayed 2 nights in September 2018,Group,"Reviewed September 21, 2018","good hotel in orchard area, good to have the hotel package with breakfast. nice clean room, however the bathroom sometimes smell cigarette smoke, already put complaint but they check but could not found the source of smoke. really hate about smoke problem.",good hotel in Orchard area”,Charles from Indonesia
Stayed 1 night in September 2018,Family with young children,"Reviewed September 11, 2018","Upon check in , we did top up grade to premium room, the room is big and clean . Only down point is , we requestedfor late check out, their answer is the Lastest time is 12.30pm, although we did this request because my baby is sick . Normally other hotel can allow until 1pm during weekday",Is value for money”,HO from Singapore
Stayed 2 nights in September 2018,Couple,"Reviewed September 11, 2018","Good location at centre of Orchard Road. Stay at club room and the staff at club lounge were very nice especially Elvie was courteous and very welcoming
The shower cubicle was very small for club room
The only setback is the breakfast end at 10am that too early for even weekemd and check out time is 11am not noon like all other hotel",Good location at centre of Orchard Road”,ZAINOL from Singapore
Stayed 2 nights in September 2018,Family with young children,"Reviewed September 10, 2018","This hotel have very good location with so many shopping mall nearby and very easy to find the transportation include bus,mrt station taxi stand etc. good servies as always. Its my recommendation. Thanks",Strategic hotel”,Kendy from Indonesia
Stayed 3 nights in February 2019,Family with young children,"Reviewed February 26, 2019",I have stayed in this hotel for almost 15 years. The service level has really going downhill. Staff seems not knowing what to do. ,Going downhill”,Hizkia from Indonesia
Stayed 3 nights in February 2019,Family with young children,"Reviewed February 20, 2019","Good location, easy to find food, at the center of orchard road.",My go to hotel in SG”,Cynthia from Malaysia
Stayed 3 nights in February 2019,Family with young children,"Reviewed February 18, 2019","We always choose Mandarin Orchard as it makes us feel at home for my holidays in Singapore. The ambience, location and the facilities complete the wholesome of it.",Our Second ‘Home’ in Singapore”,Kok from Singapore
Stayed 2 nights in February 2019,Group,"Reviewed February 17, 2019",Need to shampoo the carpet in room 1426,Excellent”,Sigrid from Philippines
Stayed 2 nights in November 2018,Group,"Reviewed February 13, 2019","Good hotel in the heart of orchard, clean hotel and good staff",Good hotel in the heart of orchard”,Charles from Indonesia
Stayed 1 night in February 2019,Couple,"Reviewed February 11, 2019",Tks to the hotel manager who upgraded our room to the presidential suit even just for the half day as no more room available when we checked in. It really made highlights to our trip.,"Friendly staff, great location ”",Ingrid from Australia
Stayed 2 nights in February 2019,Family with young children,"Reviewed February 09, 2019","Location, location. Got upgraded to a larger room.  Lovely Welcome gift in room for CNY. ",Excellent”,Wu from Brunei Darussalam
Stayed 4 nights in January 2019,Couple,"Reviewed February 05, 2019",The location of the hotel was great! It was right in the middle of Orchard next to the malls. The room was very clean and the bed was very comfortable. The staff was very accomodating. My wife and I were celebrating our Wedding anniversary and they had a nice little welcome surpise for us. Will definitely stay here again on our next visit.  ,Great location and service”,Julian from Philippines
Stayed 1 night in February 2019,Family with young children,"Reviewed February 04, 2019","Overall the stay is pleasant, but not sure where is the fridge? The breakfast buffet spread is international limited choices, which cater for most races, include vegetarian, however it is only average considered the price of room and breakfast. If given a choice I would choose only the room without breakfast and have my breakfast at nearby a Burger King, McDonald or Starbuck. ",Pleasant stay and good location”,Tiong from Singapore
Stayed 3 nights in January 2019,Family with teens,"Reviewed February 01, 2019","We are staying family suit was good. The 2-bed room apartment was spacious and clean.
 It was convenience location for sight seen and shopping.
But only down side was smoking smell get in to our room very bad we could not sleep  if you are open the  rest room door at entrance.",Excellent”,Thuyen from Australia
Stayed 5 nights in January 2019,Family with young children,"Reviewed February 01, 2019","Rooms are comfortable, large and in good condition. Room service dinner is good. A decent gym for a hotel. Great staff uniforms. This is a big, busy, commercial hotel, so don’t expect much personal service. Staff were mostly abrupt and seemed not very happy (customers don’t help...I noticed many were rude to the staff)....exception being some of the chefs at breakfast, some bar staff, a young doorman with white gloves and one of the concierge. What was outstanding was the amazing whiskey bar, specializing in Japanese whiskeys. Also a Michelin star Chinese restaurant. Perfect location: above 4 levels of shops then walk out into the heart of classy shopping / eating on Orchard Rd. Would stay again for the convenience / location / whiskey bar. ",Good facilities and excellent restaurants/ bars”,Jason from Australia
Stayed 2 nights in September 2018,Couple,"Reviewed January 30, 2019","Couldn't fault anything, location is right in the middle of Orchard Rd, room was spacious and clean, however there's no view except the other tower wall and that was the only disappointment. Other than that the stay to celebrate our anniversary was great with an extra cherry on top! definitely will comeback to stay here!",Awesome Staycation”,Sherly from Australia
Stayed 4 nights in January 2019,Group,"Reviewed January 25, 2019",Location is perfect for shopping and food. You can spend hours if not days along Orchard. The hotel is perfectly situated in the heart of Orchard that connects you to shops and many surrounding eateries. ,Shopping and food!”,Thi from Australia
Stayed 5 nights in January 2019,Family with teens,"Reviewed January 19, 2019","Housekeeping in level 18 should be more polite and warm, one auntie is not welcome at all unlike other housekeepings. I ask her politely to come back later, she leave without saying anything with rude face. When we just comeback from hospital, my father in wheelchair want to rest inside the room, she told us to stay outside because she is cleaning without even consider him or ask etc. We never complain about any housekeeping before, this time i need to inform your hotel about this. Other than this i have no complain. Thank you",Good”,Iva from Indonesia
Stayed 3 nights in December 2018,Family with teens,"Reviewed January 01, 2019",The staff at the reception did a very slow job she took so long to just check us in. Futher more .We asked for the room at the same floor( near each other ) and the staff just gave us the room with different floor without even informing us first. I was unhappy but did not sY anything because it will take her so long to do anything about it. ,Very good”,PHENPHAN from Thailand
Stayed 2 nights in December 2018,Group,"Reviewed December 28, 2018","Perfect location! Its smack in the middle of Orchard Road if you're into shopping, but also very near to MRT station if you want to venture outside of the center. Amenities in the rooms were complete, we even got a mobile phone for free phonecalls (ASEAN and other Asian countries mostly I think). Room also had an iron and ironing board which I really appreciate. Its' a bit on the pricey side, but well worth the splurge!","Great location, very comfortable rooms!”",Anindita from Indonesia
Stayed 3 nights in December 2018,Family with young children,"Reviewed December 28, 2018","Everything is good.
Very center of the city.
We traveled around Xmas and lot of Xmas atmosphere around the hotel.
The check-in queue and waiting time is a bit long, and the swimming pool not very attractive as a 5 star hotel",Convenient hotel wirh friendly staff”,Hoi from Hong Kong
Stayed 2 nights in December 2018,Family with teens,"Reviewed December 27, 2018","Hotel is in middle of orchard road where we can go to Plaza Sing and Wisma .
Just a short walk from Somerset MRT via Somerset 313 and cross a road to orchard gallery .
Stayed at 22 storey at main building facing MBS view.
If stay higher i think the view will be even better.
Room is big , clean and bed is so comfortable to sleep. 
Good to return again !",Christmas holiday”,MUI from Singapore
Stayed 2 nights in December 2018,Group,"Reviewed December 26, 2018","Service was very excellent, Nice surprise, Good Location, the staff very helpfull. location are great, we walking thru orchard road and we found anything that we need . Very Happy to stay here. Thank You Mandarin Orchard Singapore",Very Recommended Hotel at Orchard Road Singapore”,roesmala from Indonesia
Stayed 1 night in December 2018,Group,"Reviewed December 23, 2018",My second Xmas staycation here. In the heart of Orchard road it’s very convenient to shop. And there’s 24 hr don don donki at Orchard Central. The staff r friendly n rooms are exceptionally clean n cosy. ,Love the stay”,Yue from Singapore
Stayed 3 nights in December 2018,Family with young children,"Reviewed December 20, 2018","got the smallest room compare to our other stay here. noisy sound from the water pipe along the stay, lot of dust in the cabinet and many fur stick on sofa cushion. we're asking to change room but they said all room are fully booked so they have upgraded us but I don't think so. feel disappointed this time.",Need more maintenance ”,leny from Indonesia
Stayed 1 night in December 2018,Family with young children,"Reviewed December 17, 2018","Except the location and clean We used to stay in many 5 stars hotel around Singapore as staycation with my kids.  This hotel is below our expectation. I queue more than 30mins for check in process. After checkin. the front desk didn't do any simple intro. we don't know which direction should we go. which  lift should we take. 

The room facilities is obsolete. (hair dryer, shower nozzle). There is a creepy locked door in our room. next to my bed. 

I definitely not consider this hotel again.  
",Good”,Bella from Taiwan
Stayed 4 nights in December 2018,Family with teens,"Reviewed December 12, 2018","The hotel is next to the Mandarin Gallery Mall with the internal connecting walkway to the mall on the 1st and 5th floors of the hotel. The hotel's front office is on the 5th floor. Whereas, the main entrance of the hotel (hotel driveway/lobby) is on the 1st floor. I stayed in the Premier King Room on 27th floor at the main tower for 4 nights. 
Pros
Good location, on the Orchard Road.
Next to the Takashimaya mall
Situated along the shopping malls - ION Orchard, Paragon Mall, The Robinsons and etc.
Convenient - easy access to the food malls and restaurants
Nearby MRT stations
Easy access to the taxis
Clean room (looks modern and new - perhaps it has been refurbished recently)
Helpful hotel's staffs to assist you at the hotel driveway in getting transportation.
Comfortable bedding
Cons
Busy and crowded at the hotel lobby on the 1st floor
Not so friendly and helpful concierge staffs
Lack of seatees on the hotel's lobby and front office areas
No welcoming drinks 
",Good location”,Mimi from Malaysia
Stayed 4 nights in September 2018,Family with young children,"Reviewed September 07, 2018","For 230Sgd per night i was kinda curious what kind of experience i will be getting
. The price was good considering the location and also considering that inwas in Singapore where everything is expensive. It turns out, i had a wonderful stay during my 4 nights at mandarin orchard. All the staffs were helpful, attentive and very professional in the way they handle their customers. Wouldnt mind staying there again :)",Wonderful experience at Mandarin Orchard”,Asharuddin from Brunei Darussalam
Stayed 2 nights in August 2018,Couple,"Reviewed September 03, 2018","stayed here a few times. the price point has moved up quite a bit but the hotel is located in the middle of orchard after all. facilities are just basic - pool on 5th floor is just a simple pool and not resort-like, the gym is on the top floor but hidden with no windows, didnt try the restaurant as it was not halal. location is the only reason why i chose this hotel. the room is decent in size, nicely maintained and not too aged. i will stay in this hotel if the price point is within my range. if it gets too expensive, i will sacrifice for a lesser desirable location as singapore has good public transport network.",superb location and thats about it”,Nor from Malaysia
Stayed 3 nights in July 2018,Family with teens,"Reviewed August 12, 2018",Our request for connected rooms were granted. The rooms were nice. Handies provided to make communication during our stay was smooth. The only problem for staying in this hotel was a LONG check in time and process. I believe an idea to provide queueing numbers and more chairs like in banks for waiting would help. Yet faster process and reception personnel would be needed too.,Wonderful family holiday”,jenti from Indonesia
Stayed 1 night in August 2018,Business traveler,"Reviewed August 12, 2018","As usual this hotel is packed! Aside from the ling queue for checking in, the reception personnel- Miss Queeny was responsive and accomodative with her professional warmth. Understanding iur situation, besides assistance to uograde and using lounge, she placed us in a nice renivated room.
Generally it was a good stay",Wonderful business trip kind of staying”,jenti from Indonesia
Stayed 3 nights in July 2018,Family with teens,"Reviewed July 30, 2018","We had a nice Premier Club room with direct lift to 38/39 floor Club Lounge.
Thanks to Suresh and Elvie, who managed to give us an appropriate room change as per our booking after the first night.
Club Floor rooms are 22nd floor and above at Orchard Tower.
Staff at the CLub Lounge are attentive.
Food served for breakfast can be better and should provide Halal Food options.",Location very central.”,Noor from Malaysia
Stayed 2 nights in July 2018,Family with young children,"Reviewed July 29, 2018",Been staying here couple of times and wouldnt think of any other hotel to stay in Singapore. Location at its best. Spacious room. Very attentive staff. Sadly have to pay extra $100/night to get connecting room ,Always be the first choice”,Ella from Indonesia
Stayed 1 night in July 2018,Business traveler,"Reviewed July 20, 2018","Stayed here for 1 night on personal account and 4 nights on business. Long queue to check in, but check in was relatively quick. Front desk helped to combine the booking numbers so I didnt have to re-check in on the business account. Room was spacious, kingsize bed, clean and comfortable, pillows were also comfortable. Bfast spread was huge, didnt manage to taste all! Stayed at the Orchard wing, which has it's own express side elevators, very convenient. Check out abit earlier than other hotels, but hotel can store baggage. Check out quick and no hassles.

One con was that the taxi queue in the morning is a bit long. Just install the taxi app and book online to neat the queue. 

Overall excellent stay.",5 nights stay.”,Mohd from Brunei Darussalam
Stayed 2 nights in July 2018,Family with teens,"Reviewed July 19, 2018","The only reason I chose this hotel is because of the location, although I think it is way overpriced. I booked a Double Premier room and it cost me around Rp7,000,000 per night. Initially I thought it would be a quite big room because of the price and because of the name of the room “premier”. But then I found out that it was a regular room just a little bit bigger. Not a lot though. We had an extra bed and that extra bed took up half of the space in the room. Then I found out from my sister that she booked Twin premier room for half the price. The only difference is the twin bed or king bed.  ",Great location”,Junie from Indonesia
Stayed 1 night in July 2018,Solo traveler,"Reviewed July 19, 2018","Stayed at room 2444- Main Wing, room
design dated & old. The room smell woody , not pleasant. And worst, there was this clicking noice coming out for wall at the bed every few hours, I suspect it is the water piping. I got a bad room this time. ",Great location but room design dated and funny noice coming out from wall near the bed  ”,JOHNNY from Malaysia
Stayed 1 night in July 2018,Family with teens,"Reviewed July 17, 2018",Staffs are friendly and allowed early check in at 12.30pm. They upgraded our room because the room type that we booked left with smoking-room options. Overall was a pleasant stay. Convenient location and spacious room.,"Convenient, Clean, Friendly Staff”",XIN from Malaysia
Stayed 1 night in July 2018,Couple,"Reviewed July 16, 2018","The hotel is mostly great but breakfast buffet is a nightmarish long (but most hotels are like that nowadays). However, I left my bags with the concierge and it took them 45minutes to located our bags after we had to wait in line for 20minutes. 

Never leave your bags with them if you can. Also bags were left lying around the lobby unchecked and unsupervised and the baggage claim attendant was very glib when we complained about the long wait time. Very unprofessional and really spoiled the last thing before the end of my holiday.  ",Good location but baggage handling is horrible”,Laurence from Malaysia
Stayed 6 nights in June 2018,Business traveler,"Reviewed July 14, 2018","The only downside of this hotel is breakfast. Due to the volume of people they serve in the main breakfast area they are not flexible to personal preferences or dietary needs.  The choice and variety of food is good, but you get what you see and that doesn't help when you have special dietary needs.  After the first experience we moved to a club lounge where the experience was better but choice was limited.  When we asked for extra's due to our dietary needs we were told that the extra's were chargeable.  We are talking of berries and avocado - nothing special. No other hotel has charged us extra for these.  If you don't care about breakfast as much as we do then this place will be great for you.",Great Location and great View from Club Lounge”,Sukhminder from United Kingdom
Stayed 2 nights in July 2018,Solo traveler,"Reviewed July 09, 2018","Am a return guest. Had a bad experience this time as the hotel lost my bag during check-in. (!)  Took them 2 hours to find it, which made me late for an important meeting. Very unprofessional, which is not my usual experience with this hotel.",Hotel lost my luggage”,Eng from Malaysia
Stayed 4 nights in July 2018,Family with teens,"Reviewed July 09, 2018","Pros: location was great, easily accessible, connected to a mall, lots of shops and restaurants nearby, good-sized room with a large bed.

Cons: concierge forgot to send up one of our bags (with a laptop) and didn't realize until we informed them, shower is a bit old, gym is not open 24 hours.

However, the cons are negligible (especially if you don't intend to use the hotel gym). I would still return to this hotel. Also, if you are not big on buffets, I suggest getting a room without the breakfast option. There are many breakfast / brunch places nearby that are cheaper vs the breakfast buffet.",An 8/10 overall”,Genevieve from Philippines
Stayed 2 nights in June 2018,Family with young children,"Reviewed July 01, 2018","Great location, great and clean room very worthy to stay here (we got the main tower which is renovated recently). But the swimming pool is to small and they only have 1 swimming pool with 1,2m depth. 
But overall im very satisfy to stay in this hotel and definetly gonna stay here again when we are in singapore.",Great experience”,tinawati from Indonesia
Stayed 1 night in June 2018,Couple,"Reviewed June 27, 2018","Cons:
Expensive room rate
Swimming pool is small and location of it is weird. Beside the lobby where all eyes were on you while they waiting for rooms to be ready. 

Pros:
Depend on occupy rate. I'm given a free upgrade to superior deluxe, early check in and late check-out over the counter.
Complimentary cake was send to room for birthday celebration.

Tips:
Request for upgrade to superior deluxe at the main tower. The gym is at 37th floor of the main tower. If you were to stay at orchard wing, need to come down to lobby and walk to the main tower and up to gym.
Prepare for late night shopping at DonDonDonki where the crowd was cut by 80%. Or go for steamboat @ HaiDiLao at 313 where there is totally no Q.  Bear in mind that at peak hour, may wait up to 3~4 hours.g
",Good for a staycation”,WAI from Singapore
Stayed 2 nights in June 2018,Couple,"Reviewed June 26, 2018","The hotel is very generous, they gave me birthday cake, decorated our room and give us late check out.  The staff are very nice.  If you want privacy or lesser crowd this hotel is not for you. Because there's shopping mall below the hotel so a lot of people come and go even not hotel guests.  But overall, I like the hotel and I recommend it. Thank you for making our stay comfortable. ",Weekend Stay to Celebrate”,Eshyril from Philippines
Stayed 2 nights in June 2018,Family with young children,"Reviewed June 26, 2018","Saya beruntung mendapat harga cukup bagus menginap disini, lokasi ditengah2 orchard sangat strategis sehingga memudahkan kami untuk bepergian. 

Kamar sangat bersih, smart television, bath tub, double bed... sangat nyaman. Seluruh staf juga bekerja profesional dan sangat ramah. 

Pada proses check in ternyata saya salah mengantri di loket khusus korporasi dan member.... namun petugas check in tetap melayani saya dengan profesional.",Exceptional”,Haryo from Indonesia
Stayed 2 nights in June 2018,Family with teens,"Reviewed June 19, 2018","Best location in Orchard. We may find many shopping area and food just walking distance, even 24h restaurant. The main reason for us to stay at this hotel is there is a Christian Sunday Service from Best Church at the lobby. The staff was nice and helpful.",Hotel in best location”,Laurensius from Indonesia
Stayed 3 nights in June 2018,Business traveler,"Reviewed June 12, 2018","Was told room not available at 2:30pm, not until 5pm.  But if I pay additional SGD 30/night cash over the counter for newly renovated room, immediate check in is available.  This didn't impress me.   The staff responsiveness for service is somewhat lacking. ",can be better”,Lee from Singapore
Stayed 2 nights in June 2018,Couple,"Reviewed June 11, 2018","우선 한 5~6번 와 본 거 같은데,  main tower는 첨인데, 다른 건물보다 더 좋았어요
조식은 chatter box와 triple three 가 있는데, 참고로 둘다 중간에 이어져서 왔다 갔다 자기 먹고 싶은거 먹음 되요, 단 triple three가 좀 더 나아요
위치, 가격 당연히 좋고,
직원들도 너무 친절했고, 가격대비 뭐하나 빠지는 게 없음.","위치, 가격”",KOUNG from Indonesia
Stayed 3 nights in February 2018,Couple,"Reviewed June 07, 2018","I got lucky and booked the suite with club lounge access for a bargain. Overall everything was just about perfect.

Breakfast was decent, got free laundry for 2 piece of clothes, room was really huge and filled with extra toilet (not even sure whats that for), club lounge access give us view to the ""top of the M"" which was remarkably stunning and the food there was even so good that I recommend you try it yourself to prove my word. Bathroom is, meh, I've seen better, but that one is nearly 4 times of the price I paid to stay here.

The conclusion is, if you somehow got a deal here that include a club lounge access with fair price, take it, I guarantee it will be one of the best stay of your live.

-n",Impeccable.”,Natanael from Indonesia
